10	096	096
20	096	096
30	096	096
40	096	096
50	096	096
60	096	096
70	096	096
80	096	096
90	096	096
100	096	096
110	096	096
120	096	000
130	096	000
140	096	000
150	096	000
160	096	000
170	096	000
180	096	000
190	096	000
200	096	000
210	096	000
220	096	000
230	096	000
240	096	000
250	096	000
260	096	000
270	096	000
280	096	000
290	096	000
300	096	000
310	096	000
320	096	001
330	096	001
340	096	001
350	096	001
360	096	001
370	096	002
380	096	002
390	096	002
400	096	003
410	096	003
420	096	004
430	096	004
440	096	005
450	096	005
460	096	006
470	096	007
480	096	007
490	096	008
500	096	009
510	096	010
520	096	011
530	096	012
540	096	013
550	096	014
560	096	015
570	096	016
580	096	018
590	096	019
600	096	020
610	096	022
620	096	024
630	096	025
640	096	027
650	096	029
660	096	031
670	096	033
680	096	035
690	096	037
700	096	040
710	096	042
720	096	045
730	096	047
740	096	050
750	096	053
760	096	056
770	096	059
780	096	063
790	096	066
800	096	069
810	096	073
820	096	077
830	096	081
840	096	085
850	096	089
860	096	093
870	096	098
880	096	102
890	102	107
900	107	112
910	112	117
920	117	123
930	123	128
940	128	134
950	134	139
960	139	145
970	145	151
980	151	158
990	158	164
1000	164	171
1010	171	178
1020	178	185
1030	185	192
1040	192	200
1050	200	207
1060	207	215
1070	215	223
1080	223	232
1090	232	240
1100	240	249
1110	249	255
1120	255	255
1130	255	249
1140	249	244
1150	244	238
1160	238	233
1170	233	228
1180	228	223
1190	223	218
1200	218	214
1210	214	209
1220	209	205
1230	205	201
1240	201	197
1250	197	193
1260	193	189
1270	189	185
1280	185	181
1290	181	178
1300	178	174
1310	174	171
1320	171	168
1330	168	165
1340	165	161
1350	161	159
1360	159	156
1370	156	153
1380	153	150
1390	150	148
1400	148	145
1410	145	143
1420	143	140
1430	140	138
1440	138	136
1450	136	134
1460	134	132
1470	132	130
1480	130	128
1490	128	126
1500	126	125
1510	125	123
1520	123	122
1530	122	120
1540	120	119
1550	119	117
1560	117	116
1570	116	115
1580	115	113
1590	113	112
1600	112	111
1610	111	110
1620	110	109
1630	109	108
1640	108	107
1650	107	106
1660	106	106
1670	106	105
1680	105	104
1690	104	103
1700	103	103
1710	103	102
1720	102	102
1730	102	101
1740	101	101
1750	101	100
1760	100	100
1770	100	099
1780	099	099
1790	099	099
1800	099	098
1810	098	098
1820	098	098
1830	098	097
1840	097	097
1850	097	097
1860	097	097
1870	097	097
1880	097	096
1890	096	096
1900	096	096
1910	095	096
1920	095	096
1930	095	096
1940	095	096
1950	095	096
1960	095	096
1970	095	096
1980	094	096
1990	094	096
2000	094	096
2010	094	096
2020	094	096
2030	094	096
2040	094	096
2050	093	096
2060	093	096
2070	093	096
2080	093	096
2090	093	096
2100	093	096
2110	093	096
2120	092	096
2130	092	096
2140	092	096
2150	092	096
2160	092	096
2170	092	096
2180	092	096
2190	091	096
2200	091	096
2210	091	096
2220	091	096
2230	091	096
2240	091	096
2250	091	096
2260	090	096
2270	090	096
2280	090	096
2290	090	096
2300	090	096
2310	090	096
2320	090	096
2330	089	096
2340	089	096
2350	089	096
2360	089	096
2370	089	096
2380	089	096
2390	089	096
2400	088	096
2410	088	096
2420	088	096
2430	088	096
2440	088	096
2450	088	096
2460	087	096
2470	087	096
2480	087	096
2490	087	096
2500	087	096
2510	087	096
2520	087	000
2530	086	000
2540	086	000
2550	086	000
2560	086	000
2570	086	000
2580	086	000
2590	086	000
2600	085	000
2610	085	000
2620	085	000
2630	085	000
2640	085	000
2650	085	000
2660	084	000
2670	084	000
2680	084	000
2690	084	000
2700	084	000
2710	084	000
2720	084	001
2730	083	001
2740	083	001
2750	083	001
2760	083	001
2770	083	002
2780	083	002
2790	082	002
2800	082	003
2810	082	003
2820	082	004
2830	082	004
2840	082	005
2850	082	005
2860	081	006
2870	081	007
2880	081	007
2890	081	008
2900	081	009
2910	081	010
2920	080	011
2930	080	012
2940	080	013
2950	080	014
2960	080	015
2970	080	016
2980	079	018
2990	079	019
3000	079	020
3010	079	022
3020	079	024
3030	079	025
3040	078	027
3050	078	029
3060	078	031
3070	078	033
3080	078	035
3090	078	037
3100	077	040
3110	077	042
3120	077	045
3130	077	047
3140	077	050
3150	077	053
3160	076	056
3170	076	059
3180	076	063
3190	076	066
3200	076	069
3210	076	073
3220	075	077
3230	075	081
3240	081	085
3250	085	089
3260	089	093
3270	093	098
3280	098	102
3290	102	107
3300	107	112
3310	112	117
3320	117	123
3330	123	128
3340	128	134
3350	134	139
3360	139	145
3370	145	151
3380	151	158
3390	158	164
3400	164	171
3410	171	178
3420	178	185
3430	185	192
3440	192	200
3450	200	207
3460	207	215
3470	215	223
3480	223	232
3490	232	240
3500	240	249
